ORDER_ID,MENU_NAME,CATEGORY,PRICE,RATING,REGION,ORDER_DATE,WEATHER_DATE,weathercode,precipitation_sum,temperature_2m_max,temperature_2m_min,IS_RAIN
12,반반치킨,치킨,22000,4.6,서초구,2026-08-10,2026-08-10,55,2.4,34.2,21.9,True
13,피자,피자,24000,4.0,강남구,2026-08-10,2026-08-10,55,2.4,34.2,21.9,True
14,포테이토피자,피자,27000,4.4,송파구,2026-08-11,2026-08-11,3,0.0,33.6,23.3,False
15,불고기피자,피자,26000,4.3,서초구,2026-08-11,2026-08-11,3,0.0,33.6,23.3,False
16,짜장면,중식,7500,3.9,강남구,2026-08-12,2026-08-12,3,0.0,32.0,21.2,False
17,짬뽕,중식,9000,4.2,송파구,2026-08-12,2026-08-12,3,0.0,32.0,21.2,False
18,마라탕,중식,12500,4.5,강남구,2026-08-13,2026-08-13,51,0.9,32.3,22.4,True
19,탕수육,중식,19000,4.6,서초구,2026-08-13,2026-08-13,51,0.9,32.3,22.4,True
20,돈까스,일식,10500,4.2,송파구,2026-08-14,2026-08-14,61,3.9,31.6,24.2,True
21,초밥세트,일식,28000,4.8,강남구,2026-08-14,2026-08-14,61,3.9,31.6,24.2,True
22,우동,일식,8000,4.0,서초구,2026-08-15,2026-08-15,63,14.2,27.3,23.6,True
23,라멘,일식,11000,4.4,송파구,2026-08-15,2026-08-15,63,14.2,27.3,23.6,True
24,떡볶이,분식,9500,4.6,서초구,2026-08-16,2026-08-16,61,7.6,26.8,23.1,True
25,김밥,분식,5000,4.0,강남구,2026-08-16,2026-08-16,61,7.6,26.8,23.1,True
26,치킨,치킨,22000,4.5,송파구,2026-08-17,2026-08-17,63,11.7,28.9,23.1,True
27,피자,피자,25500,4.1,강남구,2026-08-17,2026-08-17,63,11.7,28.9,23.1,True
28,짜장면,중식,8000,4.1,서초구,2026-08-18,2026-08-18,51,0.9,30.9,23.2,True
29,돈까스,일식,11500,4.3,송파구,2026-08-18,2026-08-18,51,0.9,30.9,23.2,True
30,마라탕,중식,13500,4.7,강남구,2026-08-19,2026-08-19,53,0.7,30.0,23.7,True
31,초밥세트,일식,29000,4.9,서초구,2026-08-19,2026-08-19,53,0.7,30.0,23.7,True
32,떡볶이,분식,9000,4.4,송파구,2026-08-20,2026-08-20,63,6.7,30.3,24.2,True
33,치킨,치킨,23500,4.8,강남구,2026-08-20,2026-08-20,63,6.7,30.3,24.2,True
34,피자,피자,26500,4.2,서초구,2026-08-21,2026-08-21,63,29.0,27.2,22.3,True
